Year,Total_Disaster_Events,Total_Deaths,Total_Affected,Economic_Damage_USD,Temp_Anomaly_C,CO2_ppm
1980,123,21314,71934282,32395367064,0.26,338.91
1981,134,34028,29755614,11113631326,0.32,340.11
1982,156,31575,88531182,14721009284,0.14,340.85
1983,214,192696,148732025,17449582088,0.31,342.53
1984,158,263624,84919944,9587098158,0.16,344.07
1985,173,129721,41786225,16988191124,0.12,345.54
1986,146,7304,31983558,14110928000,0.18,346.97
1987,182,18965,372068673,14778065000,0.32,348.68
1988,197,42069,206882015,26314557000,0.39,351.16
1989,171,10800,163736760,27426740000,0.27,352.79
1990,276,50984,80326771,43906272355,0.45,354.06
1991,233,158987,274237130,39062733399,0.4,355.39
1992,217,12286,69735941,53318328517,0.22,356.09
1993,263,21219,179126338,53873030420,0.23,356.83
1994,253,13090,266922052,72422937028,0.31,358.33
1995,254,22675,234616842,156197520231,0.44,360.17
1996,231,14768,218989965,42819112050,0.33,361.93
1997,263,18745,65943675,40309148240,0.46,363.04
1998,300,50368,342237112,86866587917,0.61,365.7
1999,342,70286,227858956,108775793893,0.38,367.8
2000,401,9670,166110448,47001534333,0.39,368.96
2001,377,31001,156650520,29009589996,0.53,370.56
2002,421,12118,672017266,52053331772,0.63,372.58
2003,368,109893,251182324,69704972311,0.61,375.14
2004,365,242175,170436649,134373434738,0.53,376.95
2005,434,89221,149032335,216175172703,0.68,378.98
2006,429,23852,137571176,34560215097,0.64,381.15
2007,414,16851,210672767,73997689488,0.66,382.9
2008,361,235355,211363710,191314761411,0.54,385.02
2009,367,10813,163655499,44532252929,0.66,386.5
2010,413,307988,269321681,126625020159,0.72,388.75
2011,345,41305,235930741,371228181045,0.61,390.62
2012,364,9614,131099502,157739799796,0.64,392.65
2013,345,21841,100046465,119358060304,0.68,395.4
2014,328,7977,121923793,96229038546,0.75,397.34
2015,398,22867,254152143,78176041232,0.9,399.65
2016,350,8398,395544805,159383338705,1.01,403.07
2017,365,9768,109746324,327262113482,0.92,405.22
2018,325,12581,74363511,133920434789,0.85,407.61
2019,414,11977,120457219,100162581953,0.98,410.07
2020,414,15607,96976232,177665248418,1.01,412.44
2021,438,10548,95089392,255841828226,0.85,414.7
2022,439,76244,209900801,226040485847,0.89,417.08
2023,450,135792,121513583,206827283059,1.17,419.36
2024,443,79974,165419211,277482840509,1.29,422.79
